code,name,monthly_trend,weekly_score,current_price,ma40_weekly,volume_ratio,date
688233,神工股份,UPTREND,135,67.07,0,1.491427243509419,2025-12-18
603286,日盈电子,UPTREND,135,58.08,0,1.7598629127916925,2025-12-18
688323,瑞华泰,UPTREND,135,21.54,0,2.1222582206641687,2025-12-18
605086,龙高股份,UPTREND,135,38.27,0,1.6618991110492063,2025-12-18
002404,嘉欣丝绸,UPTREND,135,7.13,0,1.4405135886488103,2025-12-18
301005,超捷股份,UPTREND,135,92.85,0,1.8101123524470482,2025-12-18
002975,博杰股份,UPTREND,135,73.36,0,1.5021632483458964,2025-12-18
688270,臻镭科技,UPTREND,135,115.9,0,2.6030034345304216,2025-12-18
300397,天和防务,UPTREND,135,14.39,0,4.958192019913267,2025-12-18
688227,品高股份,UPTREND,135,67.8,0,1.4890626631107984,2025-12-18
000973,佛塑科技,UPTREND,130,11.72,0,1.3664783611902642,2025-12-18
300123,亚光科技,UPTREND,130,7.42,0,1.4757808257836107,2025-12-18
603906,龙蟠科技,UPTREND,130,18.71,0,1.3940177132480915,2025-12-18
003009,中天火箭,UPTREND,130,59.5,0,2.0008360426631264,2025-12-18
688539,高华科技,UPTREND,130,47.29,0,1.7940989088940165,2025-12-18
600996,贵广网络,UPTREND,130,10.15,0,1.6934968165500794,2025-12-18
603890,春秋电子,UPTREND,130,15.91,0,2.2557661427882523,2025-12-18
000788,北大医药,UPTREND,130,6.42,0,1.748037789550072,2025-12-18
002307,北新路桥,UPTREND,130,5.48,0,2.3574089526010717,2025-12-18
300421,力星股份,UPTREND,130,27.21,0,1.7522631753219098,2025-12-18
603709,中源家居,UPTREND,130,17.33,0,1.759760924896316,2025-12-18
002638,勤上股份,UPTREND,130,3.04,0,2.2089174281778026,2025-12-18
601100,恒立液压,UPTREND,130,105.0,0,1.3334693502647994,2025-12-18
688191,智洋创新,UPTREND,130,30.0,0,1.4395243689408914,2025-12-18
300300,海峡创新,UPTREND,130,16.4,0,1.6482990566159486,2025-12-18
002895,川恒股份,UPTREND,130,35.38,0,1.3408005653551276,2025-12-18
300053,航宇微,UPTREND,130,17.65,0,2.313643292071948,2025-12-18
002353,杰瑞股份,UPTREND,130,69.85,0,1.921664112487947,2025-12-18
301120,新特电气,UPTREND,130,18.56,0,1.6787753894357373,2025-12-18
603232,格尔软件,UPTREND,130,21.92,0,1.8418924053605958,2025-12-18
300710,万隆光电,UPTREND,130,30.88,0,2.0579509332931587,2025-12-18
300128,锦富技术,UPTREND,130,7.82,0,1.5916608051269576,2025-12-18
688031,星环科技,UPTREND,130,105.55,0,1.5721697700137585,2025-12-18
301228,实朴检测,UPTREND,130,39.85,0,1.5747667896858324,2025-12-18
300903,科翔股份,UPTREND,130,17.91,0,1.3034824282412838,2025-12-18
301265,华新环保,UPTREND,130,11.96,0,1.603659117649946,2025-12-18
300407,凯发电气,UPTREND,130,11.62,0,1.704520979372817,2025-12-18
300342,天银机电,UPTREND,130,29.33,0,1.9212920769178354,2025-12-18
601126,四方股份,UPTREND,130,29.11,0,1.4118274366052623,2025-12-18
603682,锦和商管,UPTREND,130,6.47,0,1.6953027780414698,2025-12-18
688109,品茗科技,UPTREND,130,130.78,0,1.3110618809239787,2025-12-18
600066,宇通客车,UPTREND,130,34.47,0,1.5925374209737821,2025-12-17
002256,兆新股份,UPTREND,130,3.62,0,1.599681074515882,2025-12-18
301205,联特科技,UPTREND,130,178.4,0,1.8682909155988325,2025-12-18
300447,全信股份,UPTREND,130,17.22,0,2.6139521225699767,2025-12-18
603097,江苏华辰,UPTREND,130,26.11,0,2.143764140404516,2025-12-18
600858,银座股份,UPTREND,130,6.54,0,1.3757089927992106,2025-12-18
300086,康芝药业,UPTREND,130,9.89,0,1.3663246561746054,2025-12-18
000571,新大洲A,UPTREND,130,5.52,0,2.470020868355689,2025-12-18
300593,新雷能,UPTREND,130,27.1,0,1.7791583055370628,2025-12-18
002046,国机精工,UPTREND,130,36.03,0,1.6771606546521929,2025-12-18
601133,柏诚股份,UPTREND,130,15.4,0,2.768595000174147,2025-12-18
000065,北方国际,UPTREND,130,12.43,0,1.606287190220824,2025-12-18
603601,再升科技,UPTREND,130,9.6,0,1.9571006055122857,2025-12-18
300814,中富电路,UPTREND,130,76.49,0,1.3756032379588647,2025-12-18
603696,安记食品,UPTREND,130,19.2,0,3.1487585193781,2025-12-18
002497,雅化集团,UPTREND,130,22.2,0,1.3434268244587486,2025-12-18
002772,众兴菌业,UPTREND,130,14.29,0,1.979198674969548,2025-12-18
001360,南矿集团,UPTREND,130,20.67,0,2.697168045550383,2025-12-18
001203,大中矿业,UPTREND,130,27.31,0,1.3191904185387164,2025-12-18
300762,上海瀚讯,UPTREND,125,35.66,0,2.1342504491553,2025-12-18
002213,大为股份,UPTREND,125,26.54,0,1.5504933035428894,2025-12-18
603190,亚通精工,UPTREND,125,25.8,0,1.3038833538869075,2025-12-18
000892,欢瑞世纪,UPTREND,125,6.88,0,1.3741980657947723,2025-12-18
001270,*ST铖昌,UPTREND,125,74.4,0,2.0956246269967003,2025-12-18
002825,纳尔股份,UPTREND,125,12.0,0,1.6482980646373004,2025-12-18
300938,信测标准,UPTREND,125,31.95,0,59610980.428571425,2025-12-18
300137,ST先河,UPTREND,125,9.95,0,2.6452994714262275,2025-12-18
002028,思源电气,UPTREND,125,144.2,0,1.4547002126363888,2025-12-18
600795,国电电力,UPTREND,125,5.99,0,1.561012548677905,2025-12-18
002961,瑞达期货,UPTREND,125,27.79,0,1.5215245748303503,2025-12-18
688312,燕麦科技,UPTREND,125,31.9,0,1.6716068717734485,2025-12-18
603933,睿能科技,UPTREND,125,23.4,0,1.499570888213219,2025-12-18
002769,普路通,UPTREND,125,11.65,0,1.6352574759166436,2025-12-18
002339,积成电子,UPTREND,125,8.6,0,1.9417449474530015,2025-12-18
688160,步科股份,UPTREND,125,95.13,0,1.3417495045226406,2025-12-18
301232,飞沃科技,UPTREND,125,104.6,0,1.3465801735032192,2025-12-18
600057,厦门象屿,UPTREND,125,8.51,0,1.3296102981688838,2025-12-17
688313,仕佳光子,UPTREND,125,97.58,0,1.3138810295548184,2025-12-18
300503,昊志机电,UPTREND,125,36.06,0,2.28740514777725,2025-12-18
603489,八方股份,UPTREND,125,29.34,0,1.3821911540048892,2025-12-18
688307,中润光学,UPTREND,125,45.65,0,1.4814468511731467,2025-12-18
600645,中源协和,UPTREND,125,25.6,0,1.5536086156305475,2025-12-18
002233,塔牌集团,UPTREND,125,9.3,0,1.3757732860203973,2025-12-18
002787,华源控股,UPTREND,125,11.74,0,1.4006812256084724,2025-12-18
300655,晶瑞电材,UPTREND,125,16.9,0,1.6141476393347014,2025-12-18
002967,广电计量,UPTREND,125,21.32,0,1.7851535198507469,2025-12-18
002222,福晶科技,UPTREND,125,62.5,0,2.1991807315138434,2025-12-18
600686,金龙汽车,UPTREND,125,15.97,0,1.3503925718886876,2025-12-18
000955,欣龙控股,UPTREND,125,5.75,0,1.3048648496148638,2025-12-18
601231,环旭电子,UPTREND,125,27.08,0,1.9363280905711395,2025-12-18
002235,安妮股份,UPTREND,125,10.5,0,3.1145861546276703,2025-12-18
002728,特一药业,UPTREND,125,11.08,0,1.4146856628325704,2025-12-18
002348,高乐股份,UPTREND,125,6.38,0,2.0790973357478126,2025-12-18
300446,航天智造,UPTREND,125,22.57,0,1.6268178741181238,2025-12-18
600301,华锡有色,UPTREND,125,39.24,0,1.461164254636017,2025-12-17
300771,智莱科技,UPTREND,125,16.11,0,2.1252339872311863,2025-12-18
600800,渤海化学,UPTREND,125,5.05,0,1.9796984053793911,2025-12-18
300906,日月明,UPTREND,125,34.85,0,1.5566688518517284,2025-12-18
300444,双杰电气,UPTREND,125,9.65,0,1.4052549485364474,2025-12-18
